is_filler,cross,q_idx,filler
1,-1,sw2157A-ms98-a-0042,um
1,5,sw2157A-ms98-a-0042,uh
1,16,sw2157A-ms98-a-0042,uh
1,-1,sw2157A-ms98-a-0042,uh
1,33,sw2157A-ms98-a-0042,um
1,-1,sw2157A-ms98-a-0042,um
1,6,sw2157A-ms98-a-0042,um
0,0,sw2168B-ms98-a-0022,qy
1,221,sw2168B-ms98-a-0022,uh
1,0,sw2168B-ms98-a-0022,um
1,0,sw2168B-ms98-a-0022,uh
1,10,sw2168B-ms98-a-0022,um
1,0,sw2168B-ms98-a-0022,um
0,0,sw2168B-ms98-a-0043,qy
1,-1,sw2168B-ms98-a-0043,uh
1,0,sw2168B-ms98-a-0043,um
1,0,sw2168B-ms98-a-0043,uh
1,-1,sw2168B-ms98-a-0043,um
1,-1,sw2168B-ms98-a-0043,um
0,0,sw2168B-ms98-a-0046,qy
1,-1,sw2168B-ms98-a-0046,uh
1,0,sw2168B-ms98-a-0046,um
1,0,sw2168B-ms98-a-0046,uh
1,77,sw2168B-ms98-a-0046,um
1,-1,sw2168B-ms98-a-0046,um
0,6,sw2168B-ms98-a-0053,qy
1,207,sw2168B-ms98-a-0053,uh
1,39,sw2168B-ms98-a-0053,um
1,0,sw2168B-ms98-a-0053,uh
1,52,sw2168B-ms98-a-0053,um
1,209,sw2168B-ms98-a-0053,um
0,-1,sw2184B-ms98-a-0017,qy
1,-1,sw2184B-ms98-a-0017,um
1,-1,sw2184B-ms98-a-0017,um
1,-1,sw2184B-ms98-a-0017,uh
1,-1,sw2184B-ms98-a-0017,uh
0,0,sw2235B-ms98-a-0063,qy
1,263,sw2235B-ms98-a-0063,um
1,265,sw2235B-ms98-a-0063,um
0,0,sw2247A-ms98-a-0004,qy
1,-1,sw2247A-ms98-a-0004,uh
1,510,sw2247A-ms98-a-0004,uh
1,3,sw2247A-ms98-a-0004,uh
1,502,sw2247A-ms98-a-0004,uh
1,4,sw2247A-ms98-a-0004,uh
1,-1,sw2247A-ms98-a-0004,uh
1,499,sw2247A-ms98-a-0004,uh
1,505,sw2247A-ms98-a-0004,uh
0,1,sw2247A-ms98-a-0029,qy
1,275,sw2247A-ms98-a-0029,uh
1,274,sw2247A-ms98-a-0029,uh
1,275,sw2247A-ms98-a-0029,uh
1,227,sw2247A-ms98-a-0029,uh
1,241,sw2247A-ms98-a-0029,uh
1,280,sw2247A-ms98-a-0029,uh
1,273,sw2247A-ms98-a-0029,uh
1,286,sw2247A-ms98-a-0029,uh
0,0,sw2247A-ms98-a-0042,qy
1,299,sw2247A-ms98-a-0042,uh
1,270,sw2247A-ms98-a-0042,uh
1,3,sw2247A-ms98-a-0042,uh
1,22,sw2247A-ms98-a-0042,uh
1,3,sw2247A-ms98-a-0042,uh
1,307,sw2247A-ms98-a-0042,uh
1,289,sw2247A-ms98-a-0042,uh
1,49,sw2247A-ms98-a-0042,uh
0,3,sw2289B-ms98-a-0046,qy
1,512,sw2289B-ms98-a-0046,um
1,507,sw2289B-ms98-a-0046,uh
1,500,sw2289B-ms98-a-0046,um
1,0,sw2289B-ms98-a-0046,uh
1,47,sw2289B-ms98-a-0046,um
1,515,sw2289B-ms98-a-0046,uh
1,0,sw2289B-ms98-a-0046,uh
1,502,sw2289B-ms98-a-0046,uh
1,0,sw2289B-ms98-a-0046,uh
1,512,sw2289B-ms98-a-0046,uh
0,0,sw2314A-ms98-a-0020,qy
1,3,sw2314A-ms98-a-0020,uh
1,-1,sw2314A-ms98-a-0020,uh
1,0,sw2314A-ms98-a-0020,uh
1,0,sw2314A-ms98-a-0020,uh
1,5,sw2314A-ms98-a-0020,uh
0,-1,sw2314B-ms98-a-0084,qy
1,-1,sw2314B-ms98-a-0084,uh
1,-1,sw2314B-ms98-a-0084,uh
1,-1,sw2314B-ms98-a-0084,uh
1,-1,sw2314B-ms98-a-0084,uh
1,-1,sw2314B-ms98-a-0084,um
0,6,sw2365A-ms98-a-0013,qy
1,-1,sw2365A-ms98-a-0013,uh
1,-1,sw2365A-ms98-a-0013,uh
1,-1,sw2365A-ms98-a-0013,uh
1,-1,sw2365A-ms98-a-0013,uh
1,1,sw2365A-ms98-a-0013,uh
1,-1,sw2365A-ms98-a-0013,uh
1,-1,sw2365A-ms98-a-0013,um
1,-1,sw2365A-ms98-a-0013,uh
1,-1,sw2365A-ms98-a-0013,uh
1,0,sw2365A-ms98-a-0013,uh
1,-1,sw2365A-ms98-a-0013,um
1,0,sw2365A-ms98-a-0013,uh
0,0,sw2365B-ms98-a-0021,qy
1,-1,sw2365B-ms98-a-0021,uh
1,11,sw2365B-ms98-a-0021,uh
1,3,sw2365B-ms98-a-0021,uh
1,-1,sw2365B-ms98-a-0021,uh
1,0,sw2365B-ms98-a-0021,uh
0,0,sw2387B-ms98-a-0050,qy
1,4,sw2387B-ms98-a-0050,um
1,0,sw2387B-ms98-a-0050,um
1,-1,sw2387B-ms98-a-0050,um
1,0,sw2387B-ms98-a-0050,um
1,3,sw2387B-ms98-a-0050,um
1,-1,sw2387B-ms98-a-0050,um
1,-1,sw2387B-ms98-a-0050,um
1,0,sw2387B-ms98-a-0050,um
0,-1,sw2389A-ms98-a-0048,qy
1,-1,sw2389A-ms98-a-0048,uh
1,-1,sw2389A-ms98-a-0048,um
1,-1,sw2389A-ms98-a-0048,um
1,-1,sw2389A-ms98-a-0048,um
1,-1,sw2389A-ms98-a-0048,um
1,-1,sw2389A-ms98-a-0048,um
0,0,sw2393B-ms98-a-0035,qy
1,0,sw2393B-ms98-a-0035,uh
1,0,sw2393B-ms98-a-0035,um
1,0,sw2393B-ms98-a-0035,uh
1,0,sw2393B-ms98-a-0035,um
1,2,sw2393B-ms98-a-0035,um
1,0,sw2393B-ms98-a-0035,um
1,0,sw2393B-ms98-a-0035,uh
1,500,sw2393B-ms98-a-0035,um
1,0,sw2393B-ms98-a-0035,um
1,0,sw2393B-ms98-a-0035,um
0,0,sw2406A-ms98-a-0008,qy
1,1,sw2406A-ms98-a-0008,uh
1,0,sw2406A-ms98-a-0008,uh
1,0,sw2406A-ms98-a-0008,um
0,0,sw2406B-ms98-a-0138,qy
1,0,sw2406B-ms98-a-0138,uh
1,264,sw2406B-ms98-a-0138,uh
1,0,sw2406B-ms98-a-0138,uh
0,0,sw2427A-ms98-a-0076,qy
1,-1,sw2427A-ms98-a-0076,uh
1,-1,sw2427A-ms98-a-0076,uh
1,-1,sw2427A-ms98-a-0076,uh
0,0,sw2431A-ms98-a-0033,qy
1,0,sw2431A-ms98-a-0033,uh
0,3,sw2431A-ms98-a-0048,qy
1,-1,sw2431A-ms98-a-0048,uh
